班级名称	班级编号	班级人数	应上课程
计科一班      2014211301      30    8 01 02 03 04 05 06 07 08
计科二班      2014211302      30    8 01 02 03 04 05 06 07 08
计科三班      2014211303      30    8 01 02 03 04 05 06 07 08
计科四班      2014211304      30    8 01 02 03 04 05 06 07 08
计科五班      2014211305      30    8 01 02 03 04 05 06 07 08
计科六班      2014211306      30    8 01 02 03 04 05 06 07 08
计科七班      2014211307      30    8 01 02 03 04 05 06 07 08
计科八班      2014211308      30    8 01 02 03 04 05 06 07 08
计科九班      2014211309      30    8 01 02 03 04 05 06 07 08
计科十班      2014211310      30    8 01 02 03 04 05 06 07 08
